system,trainer,target,generator,brand,decoder_class,seen_brand,seen_class,n_generated,n_human,auroc
fixed_fusion,artifactbench,echoes,acestep,AceStep,mel_vae_hifigan,False,False,57,59,0.992268807612251
fixed_fusion,artifactbench,echoes,audioldm,AudioLDM,mel_vae_hifigan,False,False,115,59,0.9858511422254974
fixed_fusion,artifactbench,echoes,brev,Brev,unknown_proprietary,False,True,68,59,0.9656031904287139
fixed_fusion,artifactbench,echoes,diffrhythm,DiffRhythm,continuous_vae,True,True,120,59,0.9918079096045198
fixed_fusion,artifactbench,echoes,mubert,Mubert,non_neural,False,False,32,59,0.5423728813559322
fixed_fusion,artifactbench,echoes,producer,Riffusion,unknown_proprietary,True,True,68,59,0.9810568295114656
fixed_fusion,artifactbench,echoes,songgen,SongGen,rvq_xcodec,False,True,111,59,0.996488013437166
fixed_fusion,artifactbench,echoes,stableaudio,StableAudio,continuous_vae,True,True,35,59,0.8290556900726392
fixed_fusion,artifactbench,echoes,suno,Suno,unknown_proprietary,True,True,68,59,0.9481555333998006
fixed_fusion,artifactbench,echoes,udio,Udio,unknown_proprietary,True,True,68,59,0.9351944167497508
fixed_fusion,artifactbench,fakemusiccaps,MusicGen_medium,MusicGen,rvq_encodec,True,True,1104,1102,0.9905614626897079
fixed_fusion,artifactbench,fakemusiccaps,audioldm2,AudioLDM,mel_vae_hifigan,False,False,1104,1102,0.9340629849548912
fixed_fusion,artifactbench,fakemusiccaps,musicldm,MusicLDM,mel_vae_hifigan,False,False,1104,1102,0.9036978221415608
fixed_fusion,artifactbench,fakemusiccaps,mustango,Mustango,mel_vae_hifigan,False,False,1104,1102,0.9765754458297168
fixed_fusion,artifactbench,fakemusiccaps,stable_audio_open,StableAudio,continuous_vae,True,True,1104,1102,0.9698641633130803
fixed_fusion,artifactbench,sonics,chirp-v2-xxl-alpha,Suno,unknown_proprietary,True,True,1759,6882,0.9995911754700657
fixed_fusion,artifactbench,sonics,chirp-v3,Suno,unknown_proprietary,True,True,3637,6882,0.999606130028669
fixed_fusion,artifactbench,sonics,chirp-v3.5,Suno,unknown_proprietary,True,True,1590,6882,0.9991813481162234
fixed_fusion,artifactbench,sonics,udio-120s,Udio,unknown_proprietary,True,True,1619,6882,0.9896652365769104
fixed_fusion,artifactbench,sonics,udio-30s,Udio-32,unknown_proprietary,True,True,4173,6882,0.9883436113463248
fixed_fusion,artifactbench,music8k,acestep1.5,AceStep,continuous_vae,False,True,989,1102,0.9732245260478696
fixed_fusion,artifactbench,music8k,heartmula,HeartMuLa,hybrid_rvq_flow,False,False,989,1102,0.9850767700605022
fixed_fusion,artifactbench,music8k,minimax_2.6,MiniMax,hybrid_rvq_flow,False,False,304,1102,0.7974242406151495
fixed_fusion,artifactbench,music8k,mureka_v9,Mureka,continuous_vae,False,True,662,1102,0.6669718885190892
fixed_fusion,artifactbench,music8k,suno_v5.5,Suno,unknown_proprietary,True,True,330,1102,0.9765701479403839
fixed_fusion,artifactbench,music8k,sunov5_new,Suno,unknown_proprietary,True,True,340,1102,0.9049402156506886
fixed_fusion,echoes,artifactbench,DiffRhythm,DiffRhythm,continuous_vae,True,True,100,862,0.99127030162413
fixed_fusion,echoes,artifactbench,Google Chirp v2 XXL,Suno,unknown_proprietary,True,True,80,862,0.9994272041763341
fixed_fusion,echoes,artifactbench,Google Chirp v3,Suno,unknown_proprietary,True,True,80,862,0.9994779582366589
fixed_fusion,echoes,artifactbench,Google Chirp v3.5,Suno,unknown_proprietary,True,True,80,862,0.9975928074245939
fixed_fusion,echoes,artifactbench,MusicGen Large,MusicGen,rvq_encodec,False,False,30,862,0.9722351121423047
fixed_fusion,echoes,artifactbench,MusicGen Medium,MusicGen,rvq_encodec,False,False,30,862,0.9589520494972932
fixed_fusion,echoes,artifactbench,MusicGen Small,MusicGen,rvq_encodec,False,False,30,862,0.9789443155452436
fixed_fusion,echoes,artifactbench,Riffusion,Riffusion,griffin_lim,True,False,100,862,0.9716879350348028
fixed_fusion,echoes,artifactbench,Riffusion (AIME),Riffusion,griffin_lim,True,False,30,862,0.7094160866202629
fixed_fusion,echoes,artifactbench,Stable Audio v1,StableAudio,continuous_vae,True,True,50,862,0.9723781902552204
fixed_fusion,echoes,artifactbench,Stable Audio v2,StableAudio,continuous_vae,True,True,50,862,0.9864501160092807
fixed_fusion,echoes,artifactbench,Suno (mixed),Suno,unknown_proprietary,True,True,80,862,0.984498259860789
fixed_fusion,echoes,artifactbench,Suno v3,Suno,unknown_proprietary,True,True,30,862,0.999168600154679
fixed_fusion,echoes,artifactbench,Suno v3.5,Suno,unknown_proprietary,True,True,29,862,0.9989599167933435
fixed_fusion,echoes,artifactbench,Suno v4,Suno,unknown_proprietary,True,True,100,862,0.9429524361948955
fixed_fusion,echoes,artifactbench,Udio,Udio,unknown_proprietary,True,True,100,862,0.8211658932714617
fixed_fusion,echoes,artifactbench,Udio (AIME),Udio,unknown_proprietary,True,True,30,862,0.8584493426140759
fixed_fusion,echoes,artifactbench,Udio (SONICS 120s),Udio,unknown_proprietary,True,True,80,862,0.8537122969837587
fixed_fusion,echoes,artifactbench,Udio (SONICS 30s),Udio-32,unknown_proprietary,False,True,80,862,0.8482743619489559
